horizon,pooled_q50_gpr_country,pooled_q50_gpr_foreign,pooled_q50_inflation_ppt,pooled_q50_gdp_pct,ivw_gpr_country,ivw_gpr_foreign,ivw_inflation_ppt,ivw_gdp_pct,ew_gpr_country,ew_gpr_foreign,ew_inflation_ppt,ew_gdp_pct,band_q05_gpr_country,band_q05_gpr_foreign,band_q05_inflation_ppt,band_q05_gdp_pct,band_q95_gpr_country,band_q95_gpr_foreign,band_q95_inflation_ppt,band_q95_gdp_pct
0,0,.2621720651031355,.1352105335512219,-.2803867332975364,0,.2348103753612409,.4225995084537805,-.1968044140915637,0,.2475466945978537,.1776402149663311,-.265354246312331,0,.2308124568013536,.2796556140549001,-.2965197970309724,0,.2389328925049611,.5659967361170566,-.0935726281397131
1,.0566522325157197,.2182789706851104,.6708844446399977,-.4832634841233012,.0542013239870469,.1945034284447081,.7520613751986212,-.248735375917442,.0600682018221816,.1933253365735986,.7896424442142801,-.3840473320492004,.0436172428538182,.1886905114952381,.6204148684781077,-.3704112539628465,.0646794119678288,.2005843672077438,.8841026445713741,-.1288614701754821
2,.0832924027734008,.1820825609432742,1.027036982362663,-.6788976362719484,.077319950810041,.1507400353058836,.8248071140154161,-.3278548429573406,.0772364782389982,.1552449681603423,1.06328796308329,-.5108671264903716,.0631133138550205,.1432305903936757,.6919834110856612,-.4775367343009873,.0912929814496586,.1585779282224614,.9586395348720106,-.1826005977051134
3,.092220428052153,.1519668411019041,1.235286583887631,-.8524338936647174,.0769309749004755,.1124805861874181,.745611805659808,-.3877833138754768,.0783983558334064,.1260576156172395,1.178158831600017,-.6218209960277982,.0617902209262963,.1044733569064877,.6168654138961657,-.5586119830025169,.0921141439291875,.1211810963322503,.878478920241585,-.2210754754011237
4,.0913067828800078,.1267541190851174,1.33175575640501,-.9967849452943918,.0674528731982812,.082759970839324,.6220411425295047,-.427841062476042,.0728198985338293,.1028391332842805,1.200457142421009,-.709211975008211,.0525188128958425,.0745231583129533,.4982492819476369,-.6160817979500329,.0823495716654579,.0915295174762194,.7487463289068843,-.2442441264090316
5,.0851162932179888,.1056498511805828,1.344620753154002,-1.110670154602921,.0564050830902345,.0613941849472661,.5001838987291874,-.4495599794017697,.0646520935582998,.0840318366957192,1.165572106619711,-.7711791531265986,.0420321202050056,.0534256522371936,.3861735227352038,-.6497568994024933,.0707902450399422,.0699398660110188,.6177785255554138,-.2519702287805807
6,.0763830943464127,.0879278673040508,1.298609299459985,-1.195039039289306,.0464728534879943,.0465633815810303,.3946825691134291,-.4561415241759542,.0559002145272796,.0686822110491561,1.095927310078026,-.808941305894749,.033227026137304,.0390353853615681,.2883819114152215,-.6634407804316071,.0600811440404139,.0548952879266588,.5051463065677023,-.2511033539045765
7,.0668247587005205,.0730983739450376,1.211517066562329,-1.252723174887853,.0381421260270644,.0361679335403344,.308467271520335,-.4514306780018503,.0475419483813233,.0561379664795836,1.006933563239926,-.8253388641771361,.0260339019521959,.0289901465743639,.2098257892709215,-.6639136219838726,.0509418884471306,.0442738072484722,.4134541577642887,-.2420866732857945
8,.0573823230124308,.0606249668822595,1.100134424544847,-1.285797238764536,.0312618379559208,.0286370035129541,.2399590285775181,-.4388985351503838,.040025185588712,.0459106922972531,.9094714979083783,-.8239703707981962,.0196623528691512,.0217687420674747,.148425397322558,-.654032187101635,.0432988026703166,.0364535556986349,.3392129074852078,-.2253681419073121
9,.0485183808376412,.0501804706787544,.9753239539533893,-1.297405198670947,.0255926486409066,.0229920286382424,.1860315057993333,-.4212212681822081,.0335131344554678,.0376093522289619,.811084601319353,-.8086361373524537,.0146242792979865,.0163104461250527,.1000472724327375,-.634974961318866,.0370203132704546,.0306381535257782,.279322650045391,-.2082044814632326
10,.0404805030045316,.0414487013136996,.8474116297464787,-1.291580390835567,.020923272627564,.0186523252255427,.1434982772413295,-.4002507265918998,.0280138818965726,.0309078059812424,.7167346064435803,-.7829795770571564,.0104221378570652,.0122152283875753,.0630875242220518,-.6132242228789476,.0319137366010519,.0261176795636728,.2309219246777894,-.1867433791809507
