horizon,base_q05_gpr_country,base_q05_inflation_ppt,base_q05_gdp_pct,base_q05_trade_to_gdp_ppt,base_q05_shortages_index,base_q05_milit_exp_to_gdp_ppt,base_q05_debt_to_gdp_ppt,base_q05_money_growth_ppt,base_q05_govt_exp_to_gdp_ppt,base_q50_gpr_country,base_q50_inflation_ppt,base_q50_gdp_pct,base_q50_trade_to_gdp_ppt,base_q50_shortages_index,base_q50_milit_exp_to_gdp_ppt,base_q50_debt_to_gdp_ppt,base_q50_money_growth_ppt,base_q50_govt_exp_to_gdp_ppt,base_q95_gpr_country,base_q95_inflation_ppt,base_q95_gdp_pct,base_q95_trade_to_gdp_ppt,base_q95_shortages_index,base_q95_milit_exp_to_gdp_ppt,base_q95_debt_to_gdp_ppt,base_q95_money_growth_ppt,base_q95_govt_exp_to_gdp_ppt,narr_q05_gpr_country,narr_q05_inflation_ppt,narr_q05_gdp_pct,narr_q05_trade_to_gdp_ppt,narr_q05_shortages_index,narr_q05_milit_exp_to_gdp_ppt,narr_q05_debt_to_gdp_ppt,narr_q05_money_growth_ppt,narr_q05_govt_exp_to_gdp_ppt,narr_q50_gpr_country,narr_q50_inflation_ppt,narr_q50_gdp_pct,narr_q50_trade_to_gdp_ppt,narr_q50_shortages_index,narr_q50_milit_exp_to_gdp_ppt,narr_q50_debt_to_gdp_ppt,narr_q50_money_growth_ppt,narr_q50_govt_exp_to_gdp_ppt,narr_q95_gpr_country,narr_q95_inflation_ppt,narr_q95_gdp_pct,narr_q95_trade_to_gdp_ppt,narr_q95_shortages_index,narr_q95_milit_exp_to_gdp_ppt,narr_q95_debt_to_gdp_ppt,narr_q95_money_growth_ppt,narr_q95_govt_exp_to_gdp_ppt
0,1,.9978241643407185,-.7893843144899665,-.7171939042858418,.4297289500521514,.8322057961888338,.7255387503738374,.5631691502447672,.8226041238795025,1,1.37029252943459,-.6163218215193453,-.4602980437514641,.4584304978210748,.92332632598221,1.118648350893328,.9788587129144978,.9371245162127855,1,1.754225025255332,-.4324280146276301,-.2026737033252112,.4875171387060161,1.012939083159775,1.523414581548372,1.403835521287295,1.051084838805976,1,.6797783409144986,-1.700199328704318,-1.055509278801397,.5712568661795195,.9114379680104943,1.301956065086618,-.3813597984339015,1.055556754361622,1,1.257188509296208,-1.410171564023215,-.6537847496813141,.6141364468924482,1.052096479877722,1.916337473258183,.3104683342961662,1.23480523484179,1,1.829610110984971,-1.122112924671342,-.2552446769518492,.6607793659881211,1.195284832923636,2.543903098561626,.9911569653657559,1.416267950945169
1,.6273538056043155,1.535326389779577,-1.102767990041255,-.9116126469444087,.3540954675919067,1.125471094832188,1.574822024475961,.9403457255818286,.9708943464956747,.6500187578497182,1.946599647724139,-.8731664550315134,-.6190124652894111,.3851438141256084,1.232334427313687,2.062446757437641,1.36915982895376,1.114308849906132,.6724002773513846,2.36238559370832,-.6434421085602915,-.3186442235181345,.4164145014169706,1.336059221475627,2.551086113256971,1.785120511478157,1.258449608547276,.4474476724805332,1.317480725827995,-1.792450259924822,-1.855877142649718,.2617694869913097,1.401193718163275,1.870237089737146,.2656721388227684,1.646594272158153,.4915776923662945,2.079251761917337,-1.39467668180844,-1.325857194222668,.318072120195421,1.591146637208479,2.721180205768137,1.066783410988717,1.898131759364304,.5352671143946849,2.83193582966666,-.996439691094308,-.7807856486430771,.3771306329839904,1.782220048508515,3.603692850464608,1.86574611476789,2.157443373295103
2,.4085183036053116,1.743714234703769,-1.395922146641541,-1.026440781056316,.2806618160849528,1.175938738341442,2.025336419522703,1.168182752256546,1.012059616748935,.4360498276064084,2.226897985813696,-1.107468921918489,-.6847418090350617,.3146163808357006,1.299297742639788,2.62311272875256,1.619932755025807,1.189700917430626,.4643350424753557,2.706602386486535,-.816667478005012,-.3315438545952026,.3487503057240128,1.424047419242565,3.212957025819404,2.044055139796055,1.369809712812784,.3236657756852552,1.47126939037319,-2.063448295772316,-1.69403692992862,.2475295563610964,1.309468123013792,2.452582904263337,1.03131258409517,1.589176496165505,.3537740406861494,2.12200326733371,-1.658434017972664,-1.221838430242766,.2874655412886052,1.479022838514009,3.287266334309504,1.586703778492564,1.840204045096224,.3851411543892194,2.783811776600431,-1.247349568384086,-.7431272239216762,.3280956963362497,1.652117106959509,4.161737657888091,2.158699463967424,2.091730604586324
3,.275131881093119,1.8127234946344,-1.637007585918045,-1.059666478103476,.2220326131983014,1.110532514850532,2.260941202353944,1.283439682992729,1.00140608028904,.3017277014869938,2.326326412835459,-1.30172819306354,-.696054358470896,.2539277235188295,1.241948793686926,2.941348376549159,1.734451057279891,1.200164828309315,.3299424927932162,2.826402331591952,-.9704367138904707,-.3217373305028086,.2870836926299188,1.373225841652322,3.613028298193962,2.159655038104574,1.402912683288047,.2384564899704093,1.561532833321304,-2.261830667638004,-1.508960821569447,.2227823261561134,1.16772698813756,2.783545537123616,1.202300941444326,1.498447119593357,.2641877760918407,2.167442459812374,-1.84816864895431,-1.086658972933949,.2555330838998171,1.320353028171134,3.619681914139803,1.704086101026335,1.747047257135854,.2910289657861603,2.777404089103855,-1.427505637894713,-.6469119164600385,.2885350742752367,1.478010001238712,4.487869769119802,2.220840298081626,1.997578292209039
4,.1910161906351294,1.805842277604178,-1.813279099367468,-1.034713995536802,.1760374860365842,.9945763356379331,2.386852003757202,1.320640201872582,.9621111057645513,.2145212215875127,2.309925179663178,-1.454982329003491,-.6721858998981611,.204872817283972,1.125231721189403,3.111510112820243,1.757706207779331,1.171710071126103,.2408150428795607,2.818271067024231,-1.103770611961843,-.2982679112465988,.235126373921143,1.261112860682842,3.832799680986806,2.177490693269034,1.390739823745334,.1776048340952282,1.582065746544678,-2.409995804842324,-1.349643652328303,.192035211089947,1.012400817458459,2.963636332726286,1.225038466391655,1.396642136793714,.2006579116801508,2.145724229284077,-1.989601178147671,-.9471579632137883,.2213329517303965,1.151755241640396,3.807534330962349,1.689105620686689,1.642736613037385,.2263638887648683,2.731142293141639,-1.572824798362683,-.5471276141987159,.2519835517877252,1.300898556691004,4.678066924909205,2.178767797793894,1.898322102562482
5,.1350916727256752,1.736151518591423,-1.945485029898607,-.9777176537259961,.1399912460750373,.8612066991664764,2.420455215640941,1.299921141347864,.9031512170058709,.1563975503766997,2.224101454418125,-1.573036408150758,-.6262098037670543,.1661477765957305,.9868685869136276,3.176886764227626,1.71213097445073,1.121136581611808,.1803643587503613,2.723506228963192,-1.207743512378649,-.272513063634124,.1930719086155542,1.11953834421842,3.923565947245648,2.125634232507477,1.346027079537721,.1333184752109934,1.534555972403146,-2.516564755522401,-1.201382787898913,.1624612726069712,.8573357769505118,3.033480509806919,1.185104382165481,1.284264028934206,.1547403490024039,2.061977501934118,-2.096688820975214,-.8264209152602116,.1889416239057947,.9872493206131969,3.896779471762781,1.617910499271841,1.537087407594105,.1789107203534291,2.615754773155466,-1.681131621230849,-.4493625475499463,.2176506774299076,1.127428596342286,4.77316153813404,2.077498580912346,1.79369829712523
6,.0971996967529068,1.622547345984297,-2.044099021064019,-.9037543495833772,.1119326647198269,.7255770784646579,2.404330187004554,1.234664958117087,.8355597780204389,.1163503191978637,2.09346054048656,-1.658267273829481,-.5705601283809135,.1354163918291366,.8446967376928818,3.179636655949169,1.622070669048307,1.056505266360219,.1383512487891096,2.575999928027433,-1.282274676687408,-.2401230654597331,.1599131504485908,.9731806198281843,3.930041309115555,2.024967879469524,1.285036730957224,.1004060614874004,1.433962275592435,-2.592163804765107,-1.071876052444261,.135734717586953,.708672474300824,3.033287406212069,1.099177818916301,1.176388167070822,.1204555851241341,1.930008783030567,-2.169801454169847,-.712415694616864,.16029860431596,.8340096939854682,3.907508682036539,1.511674318791126,1.429872049749481,.1428591825741559,2.457102107547081,-1.751280911067187,-.3588296677836594,.1871911973384155,.9671619947607816,4.803993251250238,1.949117589051097,1.688089281913667
7,.0707229063513018,1.479768068729123,-2.113677529021537,-.822208564868362,.0897956578611694,.5987747109697078,2.347900854065247,1.136934510407853,.7629097925351799,.0878377644233889,1.926449567304674,-1.718604611869873,-.5093746913335773,.1111111957388831,.7104261390329788,3.13042906325526,1.50291993433667,.9852619281565866,.1079337812982682,2.38774928249843,-1.333954393714936,-.1967786529133145,.1341367916351473,.8332449008569245,3.888986731522391,1.88557243220974,1.215295960500805,.0751889982554794,1.297982884380472,-2.649542802313535,-.9512258017334306,.1126618644509578,.5756564059691152,2.997305405567843,.9930632676062525,1.070704616717067,.0942529474364971,1.773732966831343,-2.217644321283937,-.6099591192980541,.1354793770270939,.695031026792271,3.865622800152622,1.386191986470904,1.321706993123503,.1154040584713205,2.278309053075427,-1.793468928320586,-.2733053070268768,.1610086637817895,.8221745975363439,4.764111917393594,1.804409126019833,1.581631234686258
8,.0514042789088274,1.326141487903973,-2.157312699361135,-.7461919290949526,.0722917985452611,.4844304067878005,2.270088443144469,1.026557728047703,.688139983541027,.0669182204046635,1.745950362849912,-1.755793588773485,-.4486028540362346,.0918390308174588,.5886114706077357,3.049971478679744,1.366919364366755,.9114459156034971,.085462016905233,2.186105119835463,-1.367711095803066,-.1548766343027929,.1131589718285959,.7042674314037247,3.809554576365333,1.734271232634367,1.144039910592507,.0558054213157826,1.140436273147228,-2.681228986006521,-.8404007808429282,.0930967272516444,.4591117788155512,2.91721242966035,.8687036061626244,.9677618846142527,.0739157476098555,1.597685272385295,-2.242478079098684,-.5158124176062147,.1143324240871546,.5726733629113601,3.788808831628523,1.246188137072458,1.217090397629596,.0937724773823156,2.078786624555311,-1.815214572462732,-.1969143217758285,.1389065007615231,.6926286266369392,4.695984796941605,1.644805332007232,1.477605535101739
9,.0371788648509032,1.168172546714872,-2.175678140425844,-.6701808772973319,.0584019613698027,.3828555997269542,2.157761748417257,.9028986805597847,.6157271791343143,.0513689324968354,1.558960157972628,-1.773095438668926,-.3880747205123636,.0764008887352408,.4803485796007037,2.938865380468973,1.221902257727535,.836500218867837,.0683357313656757,1.981867486353268,-1.385323740951693,-.1119381052103512,.0966657091911423,.5891028047067021,3.701334166544747,1.572779576073996,1.067911535203687,.0407507661297916,.9805243434366245,-2.691945013974433,-.7388532302154581,.0767571581032436,.356664978167876,2.816631133768865,.7411727474169182,.8643471213713221,.0578312860396991,1.414008294092848,-2.247234703501788,-.4295897953835012,.0967291892914747,.4655663137699858,3.677645927250293,1.101112518465249,1.115732550229502,.0766034074847084,1.871640543148048,-1.82302638789013,-.1263437904837272,.1199785071307555,.5793641723814789,4.586234812802575,1.480320382864597,1.376109983156179
