horizon,pooled_q50_gpr_country,pooled_q50_inflation_ppt,pooled_q50_gdp_pct,ivw_gpr_country,ivw_inflation_ppt,ivw_gdp_pct,ew_gpr_country,ew_inflation_ppt,ew_gdp_pct,band_q05_gpr_country,band_q05_inflation_ppt,band_q05_gdp_pct,band_q95_gpr_country,band_q95_inflation_ppt,band_q95_gdp_pct
0,1,1.787888044961707,-1.274097585533327,.9999999999999996,1.10451222830886,-.8847876361086913,1,1.503405545646224,-.9396262076807357,1.000000000000001,.8730020874458356,-1.035916765309283,1.000000000000001,1.326325864931737,-.7325554959664801
1,.7013065850704695,2.83966544753432,-2.084117842912323,.7242412662444195,1.923140311080126,-1.437467726409019,.6752571741882915,2.725907860747553,-1.690422449334087,.7070355186660731,1.720260107241581,-1.618719909625475,.7419058508976568,2.122851037460278,-1.259398361111887
2,.4917171244006024,3.182661852039551,-2.593972628535964,.4679511110094682,1.794165471516579,-1.768148853170136,.4780216494540374,2.941259998342874,-2.193822351935785,.4450426785296558,1.583312317328687,-1.990822899654394,.4917882615926359,2.004595121947872,-1.551074383157647
3,.3445841368816204,3.105043622849082,-2.894835725406876,.2748316387787122,1.363165479236927,-1.909465537678188,.3469553778524092,2.73440120173529,-2.499862662070907,.2524874752387676,1.15848667795499,-2.163389511671181,.2982850994985314,1.567537037148409,-1.662247178505242
4,.2410334808382974,2.813627811965531,-3.043905492136435,.1598864847466088,.9438505459237085,-1.911548995433017,.2554677571592808,2.371562669607949,-2.654560512486766,.1403471030507302,.7507440291128571,-2.184031200255072,.1805722234454886,1.135339951708652,-1.644333558009873
5,.1680915706673182,2.427998620700621,-3.086008177544502,.0977624981859324,.6230938609522088,-1.826817989126623,.1897653505733491,1.974957210611036,-2.697467542350062,.0809820262591557,.4465354461661711,-2.107946338480084,.1161934784053464,.7976146913227976,-1.550361291348306
6,.1168608402945075,2.019146709706512,-3.055605298934225,.0624110499760428,.3947195756901585,-1.696113250902601,.1418247612414665,1.600184553230881,-2.661104153846945,.0476052708042679,.2326923569311403,-1.982860608509831,.0790200180954158,.5563538245436659,-1.421477077806059
7,.0807358994642714,1.625630248026304,-2.974427895603471,.0410361073514904,.2367433871116758,-1.546144736778309,.1065551796384707,1.270605189272273,-2.571408557007725,.027936443501965,.0903629299222427,-1.831343148642104,.0559331992688861,.386490457084926,-1.271076662130029
8,.0553176424481142,1.270088853448681,-2.860644745806058,.0275657796030246,.1310548022927626,-1.392627534039481,.080515312284078,.9934578849203868,-2.448521901849297,.0156011407858513,-.0046539663675411,-1.675786525927374,.0411236230072935,.2699871344124606,-1.118032297298533
9,.0373933752557057,.9579083955315781,-2.725773794471289,.018803570492191,.0624506509494633,-1.244210967650136,.0612737344357934,.7678216100506052,-2.307645461691765,.008014469044544,-.0637243968837308,-1.525834270124114,.0312787235703884,.1897174746061929,-.9771038977582376
10,.0247931969293254,.6943004841868767,-2.578933400798198,.0129856731195163,.0183399249784733,-1.105341640285225,.047063202014876,.5887784683028923,-2.15987503940948,.0031066203555337,-.0984159928579949,-1.383324365121115,.0247900730794256,.1375461724252688,-.8452635644938178
