horizon,acts_q05_gpa_country,acts_q05_gpt_country,acts_q05_inflation_ppt,acts_q05_gdp_pct,acts_q05_trade_to_gdp_ppt,acts_q05_shortages_index,acts_q05_milit_exp_to_gdp_ppt,acts_q05_debt_to_gdp_ppt,acts_q05_money_growth_ppt,acts_q05_govt_exp_to_gdp_ppt,acts_q50_gpa_country,acts_q50_gpt_country,acts_q50_inflation_ppt,acts_q50_gdp_pct,acts_q50_trade_to_gdp_ppt,acts_q50_shortages_index,acts_q50_milit_exp_to_gdp_ppt,acts_q50_debt_to_gdp_ppt,acts_q50_money_growth_ppt,acts_q50_govt_exp_to_gdp_ppt,acts_q95_gpa_country,acts_q95_gpt_country,acts_q95_inflation_ppt,acts_q95_gdp_pct,acts_q95_trade_to_gdp_ppt,acts_q95_shortages_index,acts_q95_milit_exp_to_gdp_ppt,acts_q95_debt_to_gdp_ppt,acts_q95_money_growth_ppt,acts_q95_govt_exp_to_gdp_ppt,threats_q05_gpa_country,threats_q05_gpt_country,threats_q05_inflation_ppt,threats_q05_gdp_pct,threats_q05_trade_to_gdp_ppt,threats_q05_shortages_index,threats_q05_milit_exp_to_gdp_ppt,threats_q05_debt_to_gdp_ppt,threats_q05_money_growth_ppt,threats_q05_govt_exp_to_gdp_ppt,threats_q50_gpa_country,threats_q50_gpt_country,threats_q50_inflation_ppt,threats_q50_gdp_pct,threats_q50_trade_to_gdp_ppt,threats_q50_shortages_index,threats_q50_milit_exp_to_gdp_ppt,threats_q50_debt_to_gdp_ppt,threats_q50_money_growth_ppt,threats_q50_govt_exp_to_gdp_ppt,threats_q95_gpa_country,threats_q95_gpt_country,threats_q95_inflation_ppt,threats_q95_gdp_pct,threats_q95_trade_to_gdp_ppt,threats_q95_shortages_index,threats_q95_milit_exp_to_gdp_ppt,threats_q95_debt_to_gdp_ppt,threats_q95_money_growth_ppt,threats_q95_govt_exp_to_gdp_ppt
0,1,.7217634204324763,.9514230771619249,-.8954859686602756,-.8692978792492191,.4093561503812767,.9512769716520236,.8746878322731915,.4425438517549568,.9069534706405428,1,.7498747625333768,1.365550408855955,-.7014497461582905,-.5914185052334184,.4411706765046256,1.044873735354878,1.285328924587539,.8937120140338239,1.02986344918371,1,.7794488052661227,1.766091601273395,-.5085758554007159,-.3171812093992249,.4723661317681266,1.143934086170119,1.691180866300609,1.341551117064198,1.152370950483581,0,1,.3683551009490664,-.5057118572841204,-.0344964901339432,.1802728175433814,-.1924627740655564,-.7589942935594597,-.1349092306472449,-.0994522055352268,0,1,.7482838527355757,-.323535710961646,.2260221889351019,.2109393782904235,-.0995379695993896,-.3566284409280379,.306624952051444,.0187621176915929,0,1,1.129705366542344,-.137534188019981,.4830372400456415,.2406823138881808,-.0043297243335553,.0442565963052938,.7258495269893546,.1376839645952769
1,.6683775620923895,.3898806222320546,1.224968938894743,-1.206570864738562,-1.050302665894296,.3614800445261016,1.224167851471845,1.751802493749342,1.024297723488378,1.01528294395956,.6888734331905504,.4219050530578016,1.678436704814114,-.9623229034360836,-.7407556787045284,.3934286764846903,1.335737189491539,2.271315083533861,1.468307235821169,1.166858235166179,.7105120056056383,.4542806988177202,2.136170961638344,-.7153568756437299,-.4327103419177142,.4267623150507459,1.44543780464338,2.776897593309398,1.904703103237456,1.318685146741287,.0070395720990396,.5107616382222497,.9890756886098184,-.5539270152104339,-.2704386841827998,.0699300682336941,-.2072973727054087,-1.339535756601246,-.6879590487351082,.1280038885863691,.0301281932235368,.5405426259277966,1.431910428881567,-.3095597033419333,.0329036829030686,.1037921185554012,-.0932497964307921,-.8274029735144721,-.2275480226163091,.283422475847408,.0529136361586266,.5708630177163183,1.883939579779595,-.0695751283936665,.3339081459630698,.136931511353049,.0214904667438299,-.3233751510493199,.2155623497030546,.4302829845464415
2,.4514605269433292,.2286942832593531,1.360208083424627,-1.488818262392448,-1.136591518471177,.3050769090480855,1.280422794735323,2.267485841228923,1.238262808713004,1.007235692226265,.4790247470261874,.262456957315281,1.870533048265821,-1.185002354341072,-.7707624710945028,.3402516617300391,1.412950505523867,2.922877116977271,1.713359076584336,1.197833822690352,.5077089177330109,.2980416414729419,2.397851657285941,-.8797782309427592,-.4096233917284027,.3767687440682242,1.547027342696542,3.563151898281268,2.18097597921181,1.38606726965594,.0060367959919591,.2593290934029163,.8056400733373205,-.6790258528428211,-.4693126795467408,.0122480560097495,-.2092556017012435,-1.507016651302979,-.2991503823520752,.2306919691324721,.0338040614940689,.2911466100417517,1.305975708900058,-.3812778170956447,-.1237335334827685,.0472078869976039,-.0769915625902419,-.8888811824354623,.1650475086519292,.4180602187033579,.0615839712610533,.3241734303957814,1.794434962793599,-.0792871645227214,.2250644751172482,.0816067153971115,.0552530967552032,-.2755459535384984,.6026015142569413,.5996829137072024
3,.3091517514562709,.1521820255702929,1.42715800830194,-1.725430345624295,-1.141282311757456,.2538407330421156,1.226699075843521,2.567096334243853,1.288800667906072,.9597219941798286,.3372498905655434,.1832112913432397,1.977963040597307,-1.367297542940898,-.7468265238281566,.2876321616748227,1.366775786174931,3.31461443639455,1.765898255300352,1.177795754199362,.3669813081027088,.2160531619058352,2.538496917112447,-1.015437484466797,-.3535368208242159,.3233732368726814,1.513021389858939,4.061490378014057,2.245738712799006,1.391551474254394,.0018135076763689,.1291334931926502,.5859240655259361,-.74523465564846,-.5462159553366064,-.0074421494958222,-.1902457670454661,-1.501362828044557,.0116613746292084,.2716508146412568,.0275509393459187,.1548489330591628,1.08597588949344,-.4153140801012241,-.1998106332876336,.0225340209259154,-.0565234326728509,-.8389866139608489,.4432897011729385,.4770609419851702,.0534828423480061,.1826041028146038,1.563046834182363,-.0829623787553905,.1514746844053994,.0527930901681904,.0762856295707247,-.1757484316655022,.8451967252885463,.6756743811334718
4,.2147850757775737,.1137371888272426,1.462288323595647,-1.908711903078098,-1.092740529469759,.2081326113468725,1.114431936335569,2.717184545611758,1.259708509511552,.8893496222011318,.2408316839483373,.141060269433235,2.01706735774881,-1.520527592645752,-.697562321568729,.2389844971951128,1.25600946210193,3.528567523234346,1.728388029612899,1.129060901091347,.2690895818330871,.1702024248186468,2.582410785963189,-1.136873846293718,-.2984492885963265,.2723780131985307,1.406084835320644,4.326914409392976,2.20816254399283,1.360928783990459,-.0021880665608814,.0618026072139358,.4213212724048513,-.7531931580237239,-.5441746814780437,-.0117454001156988,-.1660981321013947,-1.428012932927426,.1558929641266794,.2844156498818834,.0191344203969394,.0809650384517063,.8883437644711294,-.4162264020774359,-.2231310638118047,.0132329558943413,-.0404330041960872,-.7518911754326566,.5479751567441151,.4925440437601382,.0411511279648833,.102400378632549,1.338455178157659,-.0741660657281592,.1079398511457801,.0380009426455281,.0830362542290053,-.0779196570860959,.9168338263043453,.6970965253157235
5,.150942582787089,.0919920687369816,1.449254771334222,-2.058855420494242,-1.017594740747408,.1687971005623286,.9792224012419832,2.775231621893,1.19912531210433,.8180013606018586,.1744714889488095,.1158049227414306,1.994722689178012,-1.645192096995805,-.6360177877579682,.196772776958243,1.114809508196014,3.618016972158301,1.648117837902043,1.067012064551839,.2003992462634634,.1418264516324821,2.546261553645384,-1.241784049768109,-.2464831425888143,.2270464604613088,1.260964875066063,4.441388017036243,2.116508775459843,1.31341225663298,-.0054270353058742,.0270589590092836,.2932987725052411,-.7363283787321929,-.5075529808433504,-.0100517133662473,-.1423182305763439,-1.333855666504739,.1998396699722252,.2846479114730509,.0118082627419316,.0418851887153501,.7194250148012843,-.4033009381300462,-.2174390653751601,.0102487467543537,-.029440091408391,-.6586312768756883,.5470234685741467,.487685942364519,.0292930510264445,.0580376375493386,1.141412014912067,-.0630828091721284,.079985627660126,.0309934716490501,.0821273176358208,.0038494271111198,.8877163673151444,.6902632125097523
6,.1066371082723101,.0770373035210384,1.40619431616528,-2.169795721406562,-.9376382416390066,.1354908584108653,.8350600498480406,2.74490052011292,1.122553907405666,.743551284909875,.1279211616909054,.0981866927994775,1.923384767092108,-1.742373706909503,-.5741821889795197,.1611369493320426,.9649063232181482,3.613356741383139,1.545142136641913,.9986850296516817,.151666753028514,.1213027954478968,2.456339286575826,-1.329210982449768,-.2012606234098043,.1886059417579448,1.104398669296318,4.470929857699849,1.994163284050679,1.252782038696742,-.0073629459844606,.0093413693411319,.2029985959993758,-.7088322481853977,-.4532285339462987,-.0072920929312107,-.1235229014679665,-1.224483674397336,.190747612774689,.2755375474635778,.006086198957946,.0212741007622799,.5824900836469966,-.3805773240360415,-.1986751732190059,.0095080954273695,-.0233610705962184,-.568528333856434,.4989813565134377,.4718567847086492,.0199517865257435,.0341103653233561,.9617688139134096,-.0442593901621644,.0618050408919972,.0267839583694435,.0767185412804023,.0814633269962274,.8052518015342777,.668614032849168
7,.0757160917698309,.065416742546456,1.331436846331638,-2.243756093125361,-.8596199692529031,.1081255041673456,.6973598124392499,2.684392687863008,1.032423102630519,.667770110106135,.0948075017812491,.0841519115004815,1.814742527950213,-1.816032639505878,-.5107102085133448,.1316603057292436,.8193637669969904,3.546080710169805,1.429607065781503,.9283549281534162,.1159160973959016,.1049624445553607,2.331900608182799,-1.39373590810357,-.1599100859391102,.1569094168486498,.9510044844283372,4.42124726373523,1.860895280072296,1.18448330454688,-.0086567025435986,.0007098755564828,.1308672263976301,-.6753876709712942,-.3988466500672288,-.004671828708016,-.1068208870085814,-1.122407415405336,.1592018894423358,.2628617692808656,.0021740284622849,.0105409497821019,.4712534944449682,-.3570596907341281,-.1755655485665106,.0091559680446724,-.0196814329923269,-.4852906159407212,.4328757484413039,.4512035425955406,.0132135605581007,.0209583291705576,.8106422606806146,-.0258919508314887,.0510959373070905,.0240461155995243,.0675556717767333,.1413470891574682,.7080348798737534,.6413589068422328
8,.0536172121501955,.0550025856556253,1.223872020738714,-2.29974343428605,-.7761832927910739,.086021722878597,.570525363206416,2.578068643348195,.9309005219093989,.5959241965552069,.0707446112917772,.072188797700808,1.685619575317844,-1.864446544503969,-.4473524401115077,.1075351977216376,.6836957215501459,3.441074089460646,1.302377696270902,.8551497487861486,.0899117102253432,.0906863645458493,2.172370474803031,-1.435272838951918,-.1209328759018183,.1309255161233369,.8092642374760387,4.320785706120945,1.716597819206825,1.112313258860258,-.0093902852604705,-.0033528929366859,.0706204975334838,-.6392377262437871,-.3483869112336337,-.0033047809332879,-.0940008370070999,-1.022023381625744,.1227465685322596,.2485298226588449,-.0005011405096656,.0050512034259831,.3765867490512155,-.3314930987637318,-.1498770040435302,.0089237168277257,-.0177313302252362,-.410151639319529,.3643939550384684,.4291272104071255,.0084028570940909,.013924939090508,.6787501350708233,-.0118378663632317,.0460816828749623,.021751679961626,.0585522812103411,.2010026692952215,.6131298791397296,.6124218606375167
9,.0373372457337008,.0460327287197728,1.097210328960712,-2.332637789109314,-.6998395583231674,.0681759549372782,.4567116354749238,2.444774216348328,.8234640690671073,.5255395344893637,.0529923543298941,.0616627385982351,1.536589375867798,-1.893481543486404,-.3881676340728629,.0881031294090256,.5619242536518184,3.305106921911073,1.175033275011776,.7820039846013713,.0702910239029505,.0786154903389783,2.000767544974079,-1.468202833623999,-.0834121219062255,.1099922589813117,.6808707755168165,4.191278408637818,1.563644881191736,1.039779911139113,-.0095417044876431,-.0050151300231952,.0251897621885515,-.6059223689614995,-.3041714875659125,-.0021992755614489,-.0833419778250342,-.9322804968198181,.0842471854179259,.2339550320788248,-.0021599719998919,.002317390394435,.2973577142309826,-.3071230900256101,-.127991048072521,.0085442705406174,-.0164065433413671,-.3396594720941907,.3019756650031287,.4077051018889463,.0052851411269511,.0100314534741882,.5725768692594392,.0040503107108646,.0438328324503634,.0198513372903658,.0496224623047943,.245609122125671,.5227307244761887,.5827611360983425
