horizon,global_q05_gpr_global,global_q05_gpr_country,global_q05_inflation_ppt,global_q05_gdp_pct,global_q05_trade_to_gdp_ppt,global_q05_shortages_index,global_q05_milit_exp_to_gdp_ppt,global_q05_debt_to_gdp_ppt,global_q05_money_growth_ppt,global_q05_govt_exp_to_gdp_ppt,global_q50_gpr_global,global_q50_gpr_country,global_q50_inflation_ppt,global_q50_gdp_pct,global_q50_trade_to_gdp_ppt,global_q50_shortages_index,global_q50_milit_exp_to_gdp_ppt,global_q50_debt_to_gdp_ppt,global_q50_money_growth_ppt,global_q50_govt_exp_to_gdp_ppt,global_q95_gpr_global,global_q95_gpr_country,global_q95_inflation_ppt,global_q95_gdp_pct,global_q95_trade_to_gdp_ppt,global_q95_shortages_index,global_q95_milit_exp_to_gdp_ppt,global_q95_debt_to_gdp_ppt,global_q95_money_growth_ppt,global_q95_govt_exp_to_gdp_ppt,country_q05_gpr_global,country_q05_gpr_country,country_q05_inflation_ppt,country_q05_gdp_pct,country_q05_trade_to_gdp_ppt,country_q05_shortages_index,country_q05_milit_exp_to_gdp_ppt,country_q05_debt_to_gdp_ppt,country_q05_money_growth_ppt,country_q05_govt_exp_to_gdp_ppt,country_q50_gpr_global,country_q50_gpr_country,country_q50_inflation_ppt,country_q50_gdp_pct,country_q50_trade_to_gdp_ppt,country_q50_shortages_index,country_q50_milit_exp_to_gdp_ppt,country_q50_debt_to_gdp_ppt,country_q50_money_growth_ppt,country_q50_govt_exp_to_gdp_ppt,country_q95_gpr_global,country_q95_gpr_country,country_q95_inflation_ppt,country_q95_gdp_pct,country_q95_trade_to_gdp_ppt,country_q95_shortages_index,country_q95_milit_exp_to_gdp_ppt,country_q95_debt_to_gdp_ppt,country_q95_money_growth_ppt,country_q95_govt_exp_to_gdp_ppt
0,1,.6444521220984479,.9858109107808799,-.4479940691448015,-1.257324905273374,.2140486747042587,.848806161247143,-.0385573572702947,1.777442934099066,.7752662524933445,1,.68,1.5513596255242,-.1782147707556732,-.8870431021386045,.2582859599906013,.9872385608423242,.5481886006084463,2.399575453690821,.9560547017318314,1,.7152026185818157,2.117249095659489,.0906907258198401,-.5127358220628181,.3044014893184686,1.122541358228376,1.147779846112697,3.040589054718315,1.128739699294924,0,1,.7453050283451288,-.9735777949425604,-.5360153016051307,.4347552140772031,.6685085615420864,.8152072995563675,-.3413620402946876,.705765970132151,0,1,1.166006810673938,-.7692827596375799,-.2521098316883671,.4675471522967942,.7710016947629362,1.252238728830574,.1557441161747864,.8368501928894199,0,1,1.594627340884039,-.5674579313977444,.0263419004398262,.50027986789586,.8748257766726414,1.702087327497387,.6434131610442598,.9679680254056824
1,.8148027002382702,.4932889050759381,1.572049325031912,-.4544608127861892,-1.21307532170009,.2889111266665466,1.084778896576196,.4926113092590181,2.024011806936357,.8060539330639784,.8312032823921943,.5238150605927429,2.115228795156193,-.1342849288208472,-.8329335540991822,.3273972429498018,1.227701585471829,1.131539193509978,2.522184237255797,1.002692560511605,.8474150339972356,.555191428281133,2.651365725973072,.1744757253558316,-.4439010354098436,.3660644826774586,1.361531077349798,1.782464304478057,3.036983918133463,1.194708833781297,.0588614441632734,.5472530280895544,1.175816712116436,-1.469817543043622,-.8381974886922988,.2729146876848951,.8929157060552253,1.690531213603857,-.0907589775632898,.8856133245090504,.0766415526560441,.5754267958038961,1.669450459165954,-1.2078860588718,-.4954681022264759,.3097694525960527,1.018028802450297,2.266737169919456,.4347615175753181,1.058075696249857,.0949050235365581,.6029914137794906,2.185490583440259,-.9291826457204987,-.1572050665275307,.3462756535144682,1.144361795528515,2.863510151114779,.9322561600103728,1.227622834107932
2,.6616556950146789,.389891396106357,1.847577001063422,-.5532065527924106,-1.225354132538412,.3002885424442106,1.158644347020107,.7487213163219283,2.025609839877184,.7891818531912523,.687359914672278,.4236251698371264,2.472989409733818,-.1612448497050195,-.7755780179855254,.3437759622390084,1.324215009814932,1.519204088445008,2.590750955383621,1.023686562760729,.7138870484198009,.4601912262963989,3.092913390104103,.2201906806825016,-.3301630992571029,.3845195283232411,1.482917116283515,2.325242607302792,3.15463909143392,1.258394270448515,.0761328458442352,.3187713635523458,1.19367587999304,-1.835610176560231,-.99301279390101,.1835173577019958,.9015672852166403,2.131664858011243,.3622088857471144,.9209513672161578,.1,.3495380291285953,1.754362871446333,-1.501273909570862,-.6049138976378925,.2212902748220417,1.044263854737821,2.823833454587188,.8759392267125061,1.129520919035948,.1248927945209979,.381777241971277,2.314908168289953,-1.152820419339204,-.2074827512382504,.2599620647086944,1.189295257282622,3.543462929382445,1.379306115001223,1.33975982600745
3,.5355007019900291,.3166827216979267,1.993012902310316,-.6930461041261488,-1.231069385257742,.2868042322219047,1.149610881430709,.8876116758275334,1.99630691117772,.7485956815769053,.5666814274201778,.3523313875684442,2.695515369235837,-.2351907048175593,-.7247153919134864,.3305313997631897,1.334358920158706,1.792036685251535,2.602417668699875,1.026451414447997,.5996226955157817,.3905704560862353,3.381238863836986,.2211858954715056,-.2319498329502705,.3726027801020128,1.514643663172563,2.727947493813552,3.20226785522521,1.30673047798059,.0752637032374767,.1977927386101042,1.173464340122324,-2.057397051999327,-1.017050186238985,.1380234156930091,.8283252124793663,2.341840265000513,.6396508059663724,.9016304648689963,.0998617526595937,.2251395190909622,1.729712834256852,-1.683021991815993,-.6179240007895046,.1705427818714655,.9741533569731985,3.095921461721825,1.121534493740617,1.124884744759771,.1256204926319304,.2544452238743807,2.301651053706407,-1.298067657045159,-.2209014689025488,.2044297887950516,1.120263102663693,3.878450522095585,1.601104624294046,1.355088288224927
4,.432043691819904,.2608974078762912,2.058586523748625,-.8405911137187333,-1.204071227789506,.2597390617821361,1.096710037398418,.9766152980644992,1.940386958446059,.7077408579498455,.4660252915487593,.2971407430176527,2.804040793601473,-.3338959027295628,-.6766583739662776,.3033947502320933,1.291412780098019,1.996866298155286,2.566323310183724,1.017352333359042,.502976264184864,.3356922407846324,3.545267313104798,.1875763868397588,-.1580480419809457,.3452406581847154,1.486762329134584,3.022264783063262,3.199599192492038,1.329867189047803,.0662231562071572,.1297385293921653,1.13200984832038,-2.183289243441469,-.9681067785019327,.1117232658281619,.7277121959820348,2.430895502630535,.7659560766599051,.8523099606929797,.0900408910331546,.1530763481340972,1.664535745363231,-1.791031150828822,-.5865665363297239,.1385365882866656,.8649990834518003,3.20524081347442,1.213623276358557,1.08025339082841,.1148100663341817,.1787753097654856,2.219758945321319,-1.394760423407334,-.2122300179585871,.1673462753862351,1.003096058559896,4.007583972596101,1.658340584605705,1.317160370586762
5,.3479769670220739,.217257747580852,2.078257072088422,-.9939662342032368,-1.164299563580881,.2281871061738644,1.01724049747139,1.029654172801766,1.865110138939719,.660880181407018,.3825131614263647,.2516934816935967,2.832934687428422,-.4365644961737397,-.6377630814670037,.2708518512379712,1.21430052070961,2.13264681853039,2.502842335096876,.9962255552349156,.4213559694908567,.289278627308916,3.587426522164211,.1328878367214334,-.1033261118068211,.3118216485411479,1.417309279408774,3.244385730482756,3.144603200816164,1.334801126861472,.0550438391788245,.0891652985646312,1.079187733452123,-2.255459428086357,-.8847218332813326,.0927334597239309,.6189147328464214,2.439651694958064,.7916393535516906,.7899146011423019,.0772497732981657,.1094025868531272,1.571378879793408,-1.856565671047943,-.5311539036532889,.1159308874536423,.7455607751290934,3.214726224211858,1.20192754798497,1.018139042572446,.1004033035138974,.1319148339319647,2.088785928517816,-1.457787998648927,-.1909657307459896,.1414198031816699,.8753508108063413,4.029898373857927,1.621049970564709,1.25401444164223
6,.2793849875778449,.1811169042184379,2.043394221985135,-1.141285265489232,-1.123532326559626,.1972246916716159,.9221391145678983,1.050288494691964,1.779920945192532,.6173602014889441,.313333709964811,.2130982245135246,2.799517039226002,-.5420741984834415,-.5895942991220843,.2372693974442035,1.117633355936683,2.225945646078096,2.408917859935453,.967980539738953,.3525634898319099,.2492437401093339,3.560885799180498,.0575451132792779,-.0654388240216543,.2769154980355833,1.319831102246271,3.406561785244222,3.046745093740621,1.323738764045828,.0438176034755036,.0632148429592235,.9999367551863246,-2.29670991108488,-.7925325049194112,.0771478929369464,.5129285976443382,2.384284607405774,.7626911442525269,.7207555062844768,.064404120286948,.081046307823834,1.455848867675368,-1.890938752200011,-.4687168466606236,.0985447923511807,.629733335782526,3.162661164827816,1.134875666360811,.9446761486496862,.0859112520242654,.1011590400885716,1.930822275279113,-1.49544487400507,-.1580553882872364,.1212966163640009,.7495389955566103,3.975667038786565,1.526523558476945,1.180321814759324
7,.2233042014629039,.1503786919972352,1.986473487985448,-1.271343083441029,-1.070555686989813,.1682100354340443,.8207333006172294,1.052477266265955,1.680958265683977,.5676011748764931,.2560157531051666,.1801001589504243,2.717291890908819,-.6397553726265215,-.5467826192709452,.205294298032619,1.012414909067128,2.291411878259448,2.292394715748574,.9315619968626944,.2945887704415898,.2148107715213169,3.455558494805776,-.0155323974476901,-.0403313639437609,.2436661625804521,1.210179266098756,3.521675234647839,2.917523451847226,1.298801649459189,.0338707410472912,.0454033169393794,.9039464529129485,-2.31080616802712,-.7089699771691343,.0647563685636144,.4160682622983401,2.30643157973053,.7036719759201815,.6528889709148638,.0527636360346924,.0616988811005624,1.32306429948707,-1.907294129170416,-.4089173318788844,.0842826613074939,.5229934023661003,3.078877726813346,1.040017319958588,.8697792047412779,.0724749260169217,.0796405231820368,1.767723619585545,-1.512301994323758,-.120880110659769,.1053795242669291,.6330682730174777,3.888895080437915,1.404861470384654,1.10271690726669
8,.1774040766352794,.1242114981067912,1.895499185007878,-1.373256070753284,-1.009421811778595,.1417739305119896,.7212374405125618,1.042150093222944,1.577807247967951,.5234409201332823,.2086429347252914,.1515968260376522,2.597992806732934,-.7349136880577509,-.5041351876283422,.1761649714458172,.9031129589438678,2.312036376803819,2.159030622718281,.8912393143925368,.2456226955230356,.1841775971966952,3.313073616754071,-.0886507625554873,-.0208948385572018,.21275438899474,1.094942103157244,3.56972963627117,2.770263153844077,1.266201771937195,.0253760770245079,.0327096421046001,.7997080389724325,-2.308353393071433,-.6286133281082894,.054190964066365,.3299833415210297,2.209009392571103,.6180418698298001,.584207491229521,.0425887892413603,.0476282274745775,1.180627425080808,-1.907153597700082,-.3483384517648652,.0721067252068017,.4285867780923713,2.963592384911868,.9335772236469483,.7975993682235145,.0610750634262749,.063996314675722,1.597188236005611,-1.515230536085464,-.0850211890628207,.0918423128078303,.5296971409304585,3.771348543379651,1.26756467163375,1.025970422950522
9,.1399843778235865,.1018048426542885,1.782017068661353,-1.46422376624139,-.9428911013233153,.1183871075709511,.6259181405836378,1.018901787053564,1.465119817686478,.4752288358824302,.1693576821116357,.1269014625343497,2.449151104452727,-.8160562907854132,-.4628708945328531,.1502755359951856,.7953909212803737,2.311992680964126,2.015969821470441,.844341452740823,.2043046259517213,.1573200627340917,3.142641658853691,-.1594756320908921,-.0006430758893232,.1849805080375159,.979816085575986,3.586181563019772,2.605327453326067,1.222584852585419,.0182293963916562,.0232203394731214,.6754942464053851,-2.293624518082657,-.5567223282809332,.0451824516278211,.2556444748007116,2.086653686111484,.5253301268680344,.5176388703671955,.0343592087377934,.0369231602890854,1.036631418087981,-1.895098423328398,-.2926631855615124,.0618352513727701,.346162478490576,2.834895904299032,.8186596825020396,.7268054137068795,.0514977022377938,.0520676256343873,1.424321397396535,-1.507130412058713,-.0494822124604245,.0804290245605383,.4413312389519838,3.626066530748281,1.132950172332379,.9509998150544298
